Origen de los fondos/unidad	Años	Total
Empresas: Total (miles de euros)	2002	3.514.968
Empresas: Total (miles de euros)	2003	3.971.421
Empresas: Total (miles de euros)	2004	4.297.624
Empresas: Total (miles de euros)	2005	4.720.095
Empresas: Total (miles de euros)	2006	5.561.629
Empresas: Total (miles de euros)	2007	6.065.035
Empresas: Total (miles de euros)	2008	6.608.550
Empresas: Total (miles de euros)	2009	6.322.578
Empresas: Total (miles de euros)	2010	6.271.629
Empresas: Total (miles de euros)	2011	6.285.324
Empresas: Total (miles de euros)	2012	6.112.318
Empresas: Total (miles de euros)	2013	6.025.088
Empresas: Total (miles de euros)	2014	5.949.817
Empresas: Total (miles de euros)	2015	6.038.519
Empresas: Total (miles de euros)	2016	6.192.887
Empresas: Total (miles de euros)	2017	6.720.362
Empresas: Total (miles de euros)	2018	7.397.346
Empresas: Total (miles de euros)	2019	7.645.150
Empresas: Total (miles de euros)	2020	7.755.316
Empresas: Total (miles de euros)	2021	8.668.350
Empresas: %	1981	42,8
Empresas: %	1982	45,8
Empresas: %	1983	46
Empresas: %	1984	48,9
Empresas: %	1985	47,2
Empresas: %	1986	49,3
Empresas: %	1987	46,8
Empresas: %	1988	47,5
Empresas: %	1989	47,8
Empresas: %	1990	47,4
Empresas: %	1991	48,1
Empresas: %	1992	43,7
Empresas: %	1993	41
Empresas: %	1994	40,3
Empresas: %	1995	44,5
Empresas: %	1996	45,5
Empresas: %	1997	44,7
Empresas: %	1998	49,8
Empresas: %	1999	48,9
Empresas: %	2000	49,7
Empresas: %	2001	47,2
Empresas: %	2001(*)	48,7
Empresas: %	2002	48,9
Empresas: %	2003	48,4
Empresas: %	2004	48
Empresas: %	2005	46,3
Empresas: %	2006	47,1
Empresas: %	2007	45,5
Empresas: %	2008	45,5
Empresas: %	2009	43,4
Empresas: %	2010	43
Empresas: %	2011	44,3
Empresas: %	2012	45,6
Empresas: %	2013	46,3
Empresas: %	2014	46,4
Empresas: %	2015	45,8
Empresas: %	2016	46,7
Empresas: %	2017	47,8
Empresas: %	2018	49,5
Empresas: %	2019	49,1
Empresas: %	2020	49,2
Empresas: %	2021	50,3
IPSFL: Total (miles de euros)	1981	349
IPSFL: Total (miles de euros)	1982	499
IPSFL: Total (miles de euros)	1983	517
IPSFL: Total (miles de euros)	1984	180
IPSFL: Total (miles de euros)	1985	2.092
IPSFL: Total (miles de euros)	1986	10.271
IPSFL: Total (miles de euros)	1987	14.617
IPSFL: Total (miles de euros)	1988	19.605
IPSFL: Total (miles de euros)	1989	17.117
IPSFL: Total (miles de euros)	1990	19.773
IPSFL: Total (miles de euros)	1991	17.850
IPSFL: Total (miles de euros)	1992	20.356
IPSFL: Total (miles de euros)	1993	32.899
IPSFL: Total (miles de euros)	1994	32.389
IPSFL: Total (miles de euros)	1995	28.055
IPSFL: Total (miles de euros)	1996	37.906
IPSFL: Total (miles de euros)	1997	29.281
IPSFL: Total (miles de euros)	1998	36.073
IPSFL: Total (miles de euros)	1999	39.450
IPSFL: Total (miles de euros)	2000	116.537
IPSFL: Total (miles de euros)	2001	51.879
IPSFL: Total (miles de euros)	2001(*)	52.765
IPSFL: Total (miles de euros)	2002	49.690
IPSFL: Total (miles de euros)	2003	37.281
IPSFL: Total (miles de euros)	2004	58.528
IPSFL: Total (miles de euros)	2005	87.228
IPSFL: Total (miles de euros)	2006	66.041
IPSFL: Total (miles de euros)	2007	72.678
IPSFL: Total (miles de euros)	2008	81.416
IPSFL: Total (miles de euros)	2009	91.244
IPSFL: Total (miles de euros)	2010	99.922
IPSFL: Total (miles de euros)	2011	78.200
IPSFL: Total (miles de euros)	2012	85.838
IPSFL: Total (miles de euros)	2013	81.970
IPSFL: Total (miles de euros)	2014	86.498
IPSFL: Total (miles de euros)	2015	114.945
IPSFL: Total (miles de euros)	2016	118.014
IPSFL: Total (miles de euros)	2017	110.380
IPSFL: Total (miles de euros)	2018	97.692
IPSFL: Total (miles de euros)	2019	103.403
IPSFL: Total (miles de euros)	2020	118.596
IPSFL: Total (miles de euros)	2021	149.605
IPSFL: %	1981	0,1
IPSFL: %	1982	0,1
IPSFL: %	1983	0,1
IPSFL: %	1984	0
IPSFL: %	1985	0,2
IPSFL: %	1986	0,9
IPSFL: %	1987	1,1
IPSFL: %	1988	1,1
IPSFL: %	1989	0,8
IPSFL: %	1990	0,8
IPSFL: %	1991	0,6
IPSFL: %	1992	0,6
IPSFL: %	1993	1
IPSFL: %	1994	1
IPSFL: %	1995	0,8
IPSFL: %	1996	1
IPSFL: %	1997	0,7
IPSFL: %	1998	0,8
IPSFL: %	1999	0,8
IPSFL: %	2000	2
IPSFL: %	2001	0,8
IPSFL: %	2001(*)	0,8
IPSFL: %	2002	0,7
IPSFL: %	2003	0,5
IPSFL: %	2004	0,7
IPSFL: %	2005	0,9
IPSFL: %	2006	0,6
IPSFL: %	2007	0,5
IPSFL: %	2008	0,6
IPSFL: %	2009	0,6
IPSFL: %	2010	0,7
IPSFL: %	2011	0,6
IPSFL: %	2012	0,6
IPSFL: %	2013	0,6
IPSFL: %	2014	0,7
IPSFL: %	2015	0,9
IPSFL: %	2016	0,9
IPSFL: %	2017	0,8
IPSFL: %	2018	0,7
IPSFL: %	2019	0,7
IPSFL: %	2020	0,8
IPSFL: %	2021	0,9
Resto del Mundo: Total (miles de euros)	1981	4.886
Resto del Mundo: Total (miles de euros)	1982	7.441
Resto del Mundo: Total (miles de euros)	1983	7.416
Resto del Mundo: Total (miles de euros)	1984	5.577
Resto del Mundo: Total (miles de euros)	1985	44.968
Resto del Mundo: Total (miles de euros)	1986	20.104
Resto del Mundo: Total (miles de euros)	1987	20.555
Resto del Mundo: Total (miles de euros)	1988	43.682
Resto del Mundo: Total (miles de euros)	1989	96.108
Resto del Mundo: Total (miles de euros)	1990	173.729
Resto del Mundo: Total (miles de euros)	1991	160.134
Resto del Mundo: Total (miles de euros)	1992	178.080
Resto del Mundo: Total (miles de euros)	1993	214.525
Resto del Mundo: Total (miles de euros)	1994	209.393
Resto del Mundo: Total (miles de euros)	1995	237.466
Resto del Mundo: Total (miles de euros)	1996	214.345
Resto del Mundo: Total (miles de euros)	1997	272.246
Resto del Mundo: Total (miles de euros)	1998	315.555
Resto del Mundo: Total (miles de euros)	1999	280.697
Resto del Mundo: Total (miles de euros)	2000	278.966
Resto del Mundo: Total (miles de euros)	2001	477.951
Resto del Mundo: Total (miles de euros)	2001(*)	485.421
Resto del Mundo: Total (miles de euros)	2002	491.084
Resto del Mundo: Total (miles de euros)	2003	470.778
Resto del Mundo: Total (miles de euros)	2004	550.954
Resto del Mundo: Total (miles de euros)	2005	585.738
Resto del Mundo: Total (miles de euros)	2006	701.425
Resto del Mundo: Total (miles de euros)	2007	935.517
Resto del Mundo: Total (miles de euros)	2008	838.103
Resto del Mundo: Total (miles de euros)	2009	795.966
Resto del Mundo: Total (miles de euros)	2010	836.639
Resto del Mundo: Total (miles de euros)	2011	947.485
Resto del Mundo: Total (miles de euros)	2012	890.185
Resto del Mundo: Total (miles de euros)	2013	957.887
Resto del Mundo: Total (miles de euros)	2014	950.156
Resto del Mundo: Total (miles de euros)	2015	1.059.092
Resto del Mundo: Total (miles de euros)	2016	1.073.079
Resto del Mundo: Total (miles de euros)	2017	1.154.085
Resto del Mundo: Total (miles de euros)	2018	1.179.917
Resto del Mundo: Total (miles de euros)	2019	1.271.437
Resto del Mundo: Total (miles de euros)	2020	1.215.634
Resto del Mundo: Total (miles de euros)	2021	1.284.455
Resto del Mundo: %	1981	1,1
Resto del Mundo: %	1982	1,3
Resto del Mundo: %	1983	1,2
Resto del Mundo: %	1984	0,7
Resto del Mundo: %	1985	4,8
Resto del Mundo: %	1986	1,7
Resto del Mundo: %	1987	1,5
Resto del Mundo: %	1988	2,5
Resto del Mundo: %	1989	4,7
Resto del Mundo: %	1990	6,8
Resto del Mundo: %	1991	5,6
Resto del Mundo: %	1992	5,5
Resto del Mundo: %	1993	6,4
Resto del Mundo: %	1994	6,3
Resto del Mundo: %	1995	6,7
Resto del Mundo: %	1996	5,5
Resto del Mundo: %	1997	6,8
Resto del Mundo: %	1998	6,7
Resto del Mundo: %	1999	5,6
Resto del Mundo: %	2000	4,9
Resto del Mundo: %	2001	7,7
Resto del Mundo: %	2001(*)	7,5
Resto del Mundo: %	2002	6,8
Resto del Mundo: %	2003	5,7
Resto del Mundo: %	2004	6,2
Resto del Mundo: %	2005	5,7
Resto del Mundo: %	2006	5,9
Resto del Mundo: %	2007	7
Resto del Mundo: %	2008	5,7
Resto del Mundo: %	2009	5,5
Resto del Mundo: %	2010	5,7
Resto del Mundo: %	2011	6,7
Resto del Mundo: %	2012	6,6
Resto del Mundo: %	2013	7,4
Resto del Mundo: %	2014	7,4
Resto del Mundo: %	2015	8
Resto del Mundo: %	2016	8,1
Resto del Mundo: %	2017	8,2
Resto del Mundo: %	2018	7,9
Resto del Mundo: %	2019	8,2
Resto del Mundo: %	2020	7,7
Resto del Mundo: %	2021	7,4
