Sectores/unidad,Años,Total
Empresas: %,2011.0,"44,3"
Empresas: %,2012.0,"45,6"
Empresas: %,2013.0,"46,3"
Empresas: %,2014.0,"46,4"
Empresas: %,2015.0,"45,8"
Empresas: %,2016.0,"46,7"
Empresas: %,2017.0,"47,8"
Empresas: %,2018.0,"49,5"
Empresas: %,2019.0,"49,1"
Empresas: %,2020.0,"49,2"
Empresas: %,2021.0,"50,3"
IPSFL: Total (miles de euros),2000.0,116.537
IPSFL: Total (miles de euros),2001.0,51.879
IPSFL: Total (miles de euros),2002.0,49.690
IPSFL: Total (miles de euros),2003.0,37.281
IPSFL: Total (miles de euros),2004.0,58.528
IPSFL: Total (miles de euros),2005.0,87.228
IPSFL: Total (miles de euros),2006.0,66.041
IPSFL: Total (miles de euros),2007.0,72.678
IPSFL: Total (miles de euros),2008.0,81.416
IPSFL: Total (miles de euros),2009.0,91.244
IPSFL: Total (miles de euros),2010.0,99.922
IPSFL: Total (miles de euros),2011.0,78.200
IPSFL: Total (miles de euros),2012.0,85.838
IPSFL: Total (miles de euros),2013.0,81.970
IPSFL: Total (miles de euros),2014.0,86.498
IPSFL: Total (miles de euros),2015.0,114.945
IPSFL: Total (miles de euros),2016.0,118.014
IPSFL: Total (miles de euros),2017.0,110.380
IPSFL: Total (miles de euros),2018.0,97.692
IPSFL: Total (miles de euros),2019.0,103.403
IPSFL: Total (miles de euros),2020.0,118.596
IPSFL: Total (miles de euros),2021.0,149.605
IPSFL: %,2000.0,2
IPSFL: %,2001.0,"0,8"
IPSFL: %,2002.0,"0,7"
IPSFL: %,2003.0,"0,5"
IPSFL: %,2004.0,"0,7"
IPSFL: %,2005.0,"0,9"
IPSFL: %,2006.0,"0,6"
IPSFL: %,2007.0,"0,5"
IPSFL: %,2008.0,"0,6"
IPSFL: %,2009.0,"0,6"
IPSFL: %,2010.0,"0,7"
IPSFL: %,2011.0,"0,6"
IPSFL: %,2012.0,"0,6"
IPSFL: %,2013.0,"0,6"
IPSFL: %,2014.0,"0,7"
IPSFL: %,2015.0,"0,9"
IPSFL: %,2016.0,"0,9"
IPSFL: %,2017.0,"0,8"
IPSFL: %,2018.0,"0,7"
IPSFL: %,2019.0,"0,7"
IPSFL: %,2020.0,"0,8"
IPSFL: %,2021.0,"0,9"
Resto del Mundo: Total (miles de euros),2000.0,278.966
Resto del Mundo: Total (miles de euros),2001.0,477.951
Resto del Mundo: Total (miles de euros),2002.0,491.084
Resto del Mundo: Total (miles de euros),2003.0,470.778
Resto del Mundo: Total (miles de euros),2004.0,550.954
Resto del Mundo: Total (miles de euros),2005.0,585.738
Resto del Mundo: Total (miles de euros),2006.0,701.425
Resto del Mundo: Total (miles de euros),2007.0,935.517
Resto del Mundo: Total (miles de euros),2008.0,838.103
Resto del Mundo: Total (miles de euros),2009.0,795.966
Resto del Mundo: Total (miles de euros),2010.0,836.639
Resto del Mundo: Total (miles de euros),2011.0,947.485
Resto del Mundo: Total (miles de euros),2012.0,890.185
Resto del Mundo: Total (miles de euros),2013.0,957.887
Resto del Mundo: Total (miles de euros),2014.0,950.156
Resto del Mundo: Total (miles de euros),2015.0,1.059.092
Resto del Mundo: Total (miles de euros),2016.0,1.073.079
Resto del Mundo: Total (miles de euros),2017.0,1.154.085
Resto del Mundo: Total (miles de euros),2018.0,1.179.917
Resto del Mundo: Total (miles de euros),2019.0,1.271.437
Resto del Mundo: Total (miles de euros),2020.0,1.215.634
Resto del Mundo: Total (miles de euros),2021.0,1.284.455
Resto del Mundo: %,2000.0,"4,9"
Resto del Mundo: %,2001.0,"7,7"
Resto del Mundo: %,2002.0,"6,8"
Resto del Mundo: %,2003.0,"5,7"
Resto del Mundo: %,2004.0,"6,2"
Resto del Mundo: %,2005.0,"5,7"
Resto del Mundo: %,2006.0,"5,9"
Resto del Mundo: %,2007.0,7
Resto del Mundo: %,2008.0,"5,7"
Resto del Mundo: %,2009.0,"5,5"
Resto del Mundo: %,2010.0,"5,7"
Resto del Mundo: %,2011.0,"6,7"
Resto del Mundo: %,2012.0,"6,6"
Resto del Mundo: %,2013.0,"7,4"
Resto del Mundo: %,2014.0,"7,4"
Resto del Mundo: %,2015.0,8
Resto del Mundo: %,2016.0,"8,1"
Resto del Mundo: %,2017.0,"8,2"
Resto del Mundo: %,2018.0,"7,9"
Resto del Mundo: %,2019.0,"8,2"
Resto del Mundo: %,2020.0,"7,7"
Resto del Mundo: %,2021.0,"7,4"
Total (miles de euros),2024.0,23.930.881
Administración Pública: Total (miles de euros),2024.0,10.236.725
Administración Pública: %,2024.0,"42,8"
Empresas: Total (miles de euros),2024.0,11.421.103
Empresas: %,2024.0,"47,7"
IPSFL: Total (miles de euros),2024.0,161.678
IPSFL: %,2024.0,"0,7"
Resto del Mundo: Total (miles de euros),2024.0,2.111.374
Resto del Mundo: %,2024.0,"8,8"
Total (miles de euros),2023.0,22.379.154
Administración Pública: Total (miles de euros),2023.0,9.475.940
Administración Pública: %,2023.0,"42,3"
Empresas: Total (miles de euros),2023.0,10.738.158
Empresas: %,2023.0,48
IPSFL: Total (miles de euros),2023.0,145.983
IPSFL: %,2023.0,"0,7"
Resto del Mundo: Total (miles de euros),2023.0,2.019.073
Resto del Mundo: %,2023.0,9
Total (miles de euros),2022.0,19.324.755
Administración Pública: Total (miles de euros),2022.0,8.005.609
Administración Pública: %,2022.0,"41,4"
Empresas: Total (miles de euros),2022.0,9.535.429
Empresas: %,2022.0,"49,3"
IPSFL: Total (miles de euros),2022.0,147.077
IPSFL: %,2022.0,"0,8"
Resto del Mundo: Total (miles de euros),2022.0,1.636.640
Resto del Mundo: %,2022.0,"8,5"
